id,name,description,price
1,Laptop,High-performance laptop with 16GB RAM and 512GB SSD,999.99
2,Smartphone,Latest model smartphone with 128GB storage and 64MP camera,699.99
3,Headphones,Noise-cancelling wireless headphones with 30-hour battery life,199.99
4,Smartwatch,Water-resistant smartwatch with heart rate monitor and GPS,299.99
5,Blender,Powerful blender for smoothies and soups,49.99
6,Coffee Maker,Automatic drip coffee maker with programmable settings,89.99
7,Desk Chair,Ergonomic office chair with adjustable height and lumbar support,129.99
8,Backpack,Waterproof backpack with multiple compartments for travel,39.99
9,Toaster,2-slice toaster with defrost and browning control,24.99
10,Desk Lamp,Adjustable LED desk lamp for comfortable reading and writing,19.99
